term_localName,label,definition,usage,notes,examples,type,tdwgutility_organizedInClass
MineralRockGroup,mineral rock group,Equivalent to higher taxon for plants and animals. Container for multiple higher groupings for minerals (,,,"silicates, inosilicates) and rocks (",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
MineralRockGroupName,mineral rock group name,A single instance of a higher 'taxon' for minerals,,,Silicates or for rocks,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
MineralRockNameAtomised,mineral rock name atomised,"Container for formal name elements for rocks, minerals and meteorites",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
ModeOfTransport,mode of transport,How the material was transported,,,"glacier, turbidity current, meteorite etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
NameAddendum,name addendum,element from TaxonIdentified complex type,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
NameComments,name comments,Free text relating to the identification of the mineral or rock,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
NamedGeologicalFeature,named geological feature,The name for a geologic feature that is not a placename,,,"'The Great Whin Sill', 'Bodmin Granite' or 'The Great Glen Fault'. Many landscape scale geologic and geomorphic features have names.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
NumberOfCoreBoxes,number of core boxes,How many core boxes were collected from the borehole or well - integer,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
NumberOfSubUnits,number of sub units,Where the described sectionunit or  'layer' is represented by more than one similar unit,,,a sequence of thin limestone beds with shale intercalations recorded as a single unit (layer),http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Organisation,organisation,Organisation type from the abcd schema,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Orientation,orientation,Free text description of the orientation of the fossil remains in the host rock,,,"unknown, life position, toppled etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
OriginalBiominerals,original biominerals,List of original organcis or biomaterial preserved in the specimen,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
OriginalStratigraphy,original stratigraphy,The original stratigraphic associations of allocthonous material,,,a Devonian erratic obtained from a Pleistocene tillite.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
OverburdenThickness,overburden thickness,Thickness in metres of non-logged over-burden before solid or logged material was reached.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Parameter,parameter,What the given value refers to,,,amount of an individual element present in a crystalline structure or it could be chemical formula,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
PartOfOrganism,part of organism,Free text description relating to the part or parts of the organism that have been preserved,,,"shell, skeleton, skull, soft tissue etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
PerologicalAnalysisComment,perological analysis comment,Free text element describing a petrological analysis or its results,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Person,person,Person type from the abcd schema,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
PetrologicalAnalysis,petrological analysis,Container for a single analysis related to the petrogenesis of a rock unit,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
PetrologicalAnalysisAtomised,petrological analysis atomised,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Petrologicalanalyses,petrologicalanalyses,Container element for one or morre sets of analytical results relating to the petrogenesis of a rock unit.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Petrology,petrology,Container for petrographic descriptions related to a rock or mineral unit,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
PetrologyDescriptiveText,petrology descriptive text,Free text element for petrographic description of the associated rock or mineral unit.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
PlaceOfOrigin,place of origin,The place of origin for material that has been transported during its history,,,glacial erratics and meteorites,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
PolarityChron,polarity chron,Reference to numerical scheme for labelling time divisions based on magnetic anomalies and reversals,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
PolaritySubchron,polarity subchron,Any named subdivision of a Polarity Chron,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
PolaritySuperchron,polarity superchron,largest division of magnetostratigraphic terms,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
PositionInSequence,position in sequence,The position this stratigraphic 'unit' has in the sequence for the site.,,,a bed number,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
PostBurialTransportation,post burial transportation,Free text relating to any post burial transport of fossil material,,,"river transport, scree slope etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
PreservationAlteration,preservation alteration,Container for description of preservation and alsteration of specimen,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
PreservationAlterationText,preservation alteration text,Free text relating to mineralogical changes in preserved specimens,,,"original shell material preserved, replacement minerals, re-crystallisation, silicification etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
PreservationMode,preservation mode,Container for preservation mode description and keywords,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
PreservationModeKeywords,preservation mode keywords,keywords for how fossil material has been preserved,,,"body, cast, mold, trace fossil, soft parts mineralised etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
PreservationModeText,preservation mode text,Free text for describing the mode of preservation,,,"is the specimen a cast or mold,are soft parts preserved or mineralised etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
PreservationQuality,preservation quality,Free text describing the preservation quality,,,"poor, medium, good, excellent. Includes preservation of anatomical detail and softparts.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
PreservationSpecialMode,preservation special mode,Keyword for any special mode of preservation,,,"preserved in amber or frozen in tundra, tar pit etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Pseudomorph,pseudomorph,"Free text to describe any pseudomorph features associated with a mineral or rock unit. Types include substitution, encrustation and infill",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
RadiometricDate,radiometric date,Container for a single radiometric date analysis,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
RadiometricDates,radiometric dates,Container for absolute dates obtained from radiometric analysis.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
RadiometricDatingMethod,radiometric dating method,"Method, analysis technique used to determine date",,,"radiocarbon, Potassium-Argon etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
RangePosition,range position,"text field to mark if this date is the earlest in a possible range, midway or the latest. May need to be used if there is a possibility of a range of dates.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
